Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 eat2_d1_01;log2 eat2_d1_02;log2 eat2_d1_03;log2 eat2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_eat2_d1;log2FC;Student's T-test Test statistic daf2_d1_eat2_d1;Sign p-val: 0.05 
CELE_Y62E10A,13;"A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7";Uncharacterized protein;15,033;13,3158;13,2742;13,3989;12,9683;13,6616;13,4782;13,2256;0,412291;0,328082;0,422077;0,932638;
cars-1;A0A061ACL3;Cysteinyl Amino-acyl tRNA Synthetase;15,7675;15,7773;15,7113;15,6432;16,1567;15,8846;16,141;15,9632;2,25733;0,00528659;-0,311562;-4,22521;+
eps-8;"A0A061ACM2;A0A061ACP8;A0A061ADW6";EPS (Human endocytosis) related;12,5189;13,0355;11,8518;13,1362;13,8975;12,8773;13,4087;13,531;1,14842;0,0555961;-0,79303;-2,19023;
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5";"A0A061ACR1;F5GUA3;Q22498;Q2XN02";"Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma";15,9997;16,0292;15,9521;15,9332;16,91;16,4458;16,5862;16,4466;2,83774;0,00196685;-0,618598;-5,54488;+
pezo-1;"A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897";Piezo-type mechanosensitive ion channel component;14,0249;14,2203;14,3511;14,0234;14,6784;14,3752;14,6108;14,3797;1,7183;0,0162968;-0,35606;-3,17779;+
twk-9;A0A061AD18;TWiK family of potassium channels;18,3173;18,0618;18,3394;17,8726;17,2252;17,1974;17,211;17,4039;3,47853;0,000748268;0,888398;7,31877;+
epi-1;"A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1";16,7993;16,8157;16,8808;16,5653;16,5375;16,3752;16,5971;16,4363;1,77302;0,0143086;0,278749;3,27799;+
kdin-1;"A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4";KiDINs220 (Vertebrate scaffold protein) homolog;13,0104;12,8672;12,953;13,002;13,0048;13,8586;13,8529;12,6856;0,620142;0,195923;-0,392332;-1,30468;
tag-273;"A0A061AD47;A0A061AE99;Q86CZ7";Uncharacterized protein;16,7957;16,6892;16,7458;16,7035;15,9666;15,9984;15,9232;16,1421;5,02013;0;0,72599;13,6634;+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3";"A0A061ADY8;Q0G831;Q19425;Q8T3E2";"Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein";12,9012;12,7524;12,5408;12,1888;13,082;12,5815;12,6605;12,5371;0,244368;0,503286;-0,119443;-0,601241;
pps-1;"A0A061AE05;Q22501";3'-Phosphoadenosine 5'-Phosphosulfate Synthetase;14,6849;13,7357;13,9037;13,413;14,9067;13,8865;13,7469;14,701;0,421367;0,321042;-0,37594;-0,949569;
cka-1;"A0A061AIW1;B3GWD5;O17610";Choline Kinase A;14,1753;14,2682;13,9052;14,4305;14,5009;14,8805;14,8057;15,3388;1,81069;0,0134449;-0,686687;-3,34768;+
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7";"A0A061AJK8;A0A061AL89;Q21920";"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7";12,7977;12,8163;12,7774;12,8972;12,9254;12,9859;13,2029;12,5426;0,271631;0,470307;-0,0920572;-0,657892;
spp-18;"A0A061AKY5;Q19837";SaPosin-like Protein family;13,6529;15,2626;14,344;14,6621;13,4882;13,6665;16,0098;13,7283;0,142472;0,66484;0,257205;0,375333;
lin-66;"A0A061AL58;O62020";Uncharacterized protein;13,9599;13,5927;13,7867;13,3555;13,6137;13,1062;13,7746;15,0526;0,193335;0,578769;-0,213083;-0,491228;
CELE_F09E10,7;A0A078BPG0;Uncharacterized protein;13,4822;13,2835;13,7968;12,5132;13,6949;13,4141;13,5184;13,6471;0,48628;0,269802;-0,29969;-1,06852;
CELE_F10C1,9;"A0A078BPH9;G4S1A4";Uncharacterized protein;13,4519;13,0365;14,0339;12,836;15,0309;14,0591;13,8953;14,538;1,52245;0,0240439;-1,04125;-2,82818;+
itx-1;"A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000";InTestinal NeureXin-like;14,3602;13,8227;14,023;13,8797;14,4921;14,3969;14,5247;14,3475;1,77908;0,0141811;-0,418908;-3,28916;+
CELE_Y41E3,7;"A0A078BQL1;O62444;Q2XMY1";Uncharacterized protein;14,437;14,1755;14,1049;14,0022;13,5437;15,1879;14,7286;14,2836;0,295838;0,442529;-0,256078;-0,707121;
CELE_Y105C5B,15;"A0A078BQP7;Q9U309";Purple acid phosphatase;14,1822;13,5679;13,9529;13,334;13,706;13,7134;13,1718;13,0678;0,643499;0,18517;0,344488;1,34495;
lim-9;"A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39";LIM domain family;15,1094;14,9499;15,542;15,0749;15,2467;15,1198;15,1758;15,3573;0,154188;0,644049;-0,0558698;-0,402662;
CELE_Y105E8A,25;"A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6";Uncharacterized protein;14,3318;13,9801;13,7444;13,0567;13,7928;13,4321;13,2535;14,0893;0,16016;0,63427;0,136367;0,416439;
