Genes;ProteinAccessions;ProteinDescriptions;log2 daf2_d1_01;log2 daf2_d1_02;log2 daf2_d1_03;log2 daf2_d1_04;log2 N2_d1_01;log2 N2_d1_02;log2 N2_d1_03;log2 N2_d1_04; -Log.p.value;Student's T-test q-value daf2_d1_N2_d1;log2FC;Student's T-test Test statistic daf2_d1_N2_d1;Sign p-val: 0.05 
CELE_Y62E10A,13;"A0A061ACH4;A0A061ACK7;A0A061ADS3;A0A061AKN1;Q95Q10;Q9U1W6;Q9U1W7";Uncharacterized protein;15,033;13,3158;13,2742;13,3989;13,4942;13,8845;13,8712;13,6388;0,0260866;0,917512;0,0333197;0,0762466;
cars-1;A0A061ACL3;Cysteinyl Amino-acyl tRNA Synthetase;15,7675;15,7773;15,7113;15,6432;16,0888;15,7628;15,7788;16,1181;1,09437;0,054716;-0,212308;-2,10008;
eps-8;"A0A061ACM2;A0A061ACP8;A0A061ADW6";EPS (Human endocytosis) related;12,5189;13,0355;11,8518;13,1362;13,6373;12,5531;12,7802;13,2235;0,496264;0,243105;-0,412935;-1,08652;
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5";"A0A061ACR1;F5GUA3;Q22498;Q2XN02";"Coatomer subunit gamma;Coatomer subunit gamma;Probable coatomer subunit gamma;Coatomer subunit gamma";15,9997;16,0292;15,9521;15,9332;16,5923;16,5336;16,4166;16,889;3,05831;0,00156903;-0,629316;-6,11304;+
pezo-1;"A0A061ACU2;A0A061AE33;A0A061AJB7;C6KRJ3;D0VWN8;H9G2S2;H9G2S3;Q17897";Piezo-type mechanosensitive ion channel component;14,0249;14,2203;14,3511;14,0234;13,8155;14,1636;14,1229;14,2687;0,19451;0,549699;0,0622551;0,493825;
twk-9;A0A061AD18;TWiK family of potassium channels;18,3173;18,0618;18,3394;17,8726;17,3976;17,1534;17,8241;17,5571;1,99858;0,00774968;0,664746;3,70467;+
epi-1;"A0A061AD21;A0A061AJI9;C1P640;C1P641;G5EEV6;Q21313";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Laminin alpha;Laminin-like protein epi-1";16,7993;16,8157;16,8808;16,5653;16,8657;16,7427;17,0923;16,9885;0,75462;0,126603;-0,157038;-1,53391;
kdin-1;"A0A061AD39;A0A061AD72;A0A061AEC1;A0A061AJK4;A0A061AL87;Q067Y1;Q20109;Q27GQ4";KiDINs220 (Vertebrate scaffold protein) homolog;13,0104;12,8672;12,953;13,002;13,6681;13,8291;13,4314;13,5216;3,38278;0,000884488;-0,654397;-7,02862;+
tag-273;"A0A061AD47;A0A061AE99;Q86CZ7";Uncharacterized protein;16,7957;16,6892;16,7458;16,7035;15,9665;15,8482;16,026;16,1803;4,22835;0;0,728293;9,96442;+
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3";"A0A061ADY8;Q0G831;Q19425;Q8T3E2";"Uncharacterized protein;Uncharacterized protein;Sodium-coupled neutral amino acid transporter 9 homolog;Uncharacterized protein";12,9012;12,7524;12,5408;12,1888;12,2756;12,3501;10,9582;12,1981;0,903121;0,0869128;0,650325;1,78223;
pps-1;"A0A061AE05;Q22501";3'-Phosphoadenosine 5'-Phosphosulfate Synthetase;14,6849;13,7357;13,9037;13,413;15,3031;13,9893;14,1854;15,2644;0,857354;0,0982086;-0,751235;-1,70601;
cka-1;"A0A061AIW1;B3GWD5;O17610";Choline Kinase A;14,1753;14,2682;13,9052;14,4305;14,182;15,2123;15,0108;14,2918;0,863429;0,0967828;-0,47944;-1,71614;
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7";"A0A061AJK8;A0A061AL89;Q21920";"Uncharacterized protein;Uncharacterized protein;Ankyrin repeat and KH domain-containing protein R11A8,7";12,7977;12,8163;12,7774;12,8972;13,3919;13,4873;13,3822;13,5391;5,00939;0;-0,628007;-13,6056;+
spp-18;"A0A061AKY5;Q19837";SaPosin-like Protein family;13,6529;15,2626;14,344;14,6621;14,7652;15,4042;15,9958;16,5278;1,24646;0,0392782;-1,19287;-2,35469;+
lin-66;"A0A061AL58;O62020";Uncharacterized protein;13,9599;13,5927;13,7867;13,3555;13,7457;13,1536;12,5701;11,2878;0,92558;0,0823538;0,984415;1,81957;
CELE_F09E10,7;A0A078BPG0;Uncharacterized protein;13,4822;13,2835;13,7968;12,5132;13,1297;13,6954;13,5721;13,5913;0,32196;0,386584;-0,228215;-0,759228;
CELE_F10C1,9;"A0A078BPH9;G4S1A4";Uncharacterized protein;13,4519;13,0365;14,0339;12,836;14,5513;14,0597;14,1416;14,0431;1,59742;0,0180838;-0,859375;-2,96044;+
itx-1;"A0A078BPJ4;A0A078BPL3;A0A078BS63;H1ZUX6;O45000";InTestinal NeureXin-like;14,3602;13,8227;14,023;13,8797;14,8645;14,8632;14,8308;14,718;3,15004;0,00105556;-0,797738;-6,36178;+
CELE_Y41E3,7;"A0A078BQL1;O62444;Q2XMY1";Uncharacterized protein;14,437;14,1755;14,1049;14,0022;14,6259;14,8664;15,37;13,9504;0,849165;0,10035;-0,523285;-1,69235;
CELE_Y105C5B,15;"A0A078BQP7;Q9U309";Purple acid phosphatase;14,1822;13,5679;13,9529;13,334;13,2965;12,9016;12,9735;13,2549;1,64417;0,0163867;0,652625;3,04388;+
lim-9;"A0A0K3AQM0;A0A0K3ATK8;G5ECN3;G5EEA4;G5EF39";LIM domain family;15,1094;14,9499;15,542;15,0749;14,5234;14,4169;14,8993;14,6719;1,76351;0,0119513;0,541173;3,2605;+
CELE_Y105E8A,25;"A0A0K3AQN0;A0A0K3ATL6;A0A0K3AWN6";Uncharacterized protein;14,3318;13,9801;13,7444;13,0567;13,2962;13,2075;13,7434;13,4407;0,567829;0,201801;0,35631;1,2136;
pgp-2;"A0A0K3AQN5;A0A0K3AU66;A0A0K3AWK1;G5EDF9";"P-GlycoProtein related;P-GlycoProtein related;P-GlycoProtein related;ABC transporter PGP-2";15,0493;14,8721;14,8834;14,7244;14,7292;14,8409;14,8326;14,8153;0,499899;0,240836;0,0778248;1,09306;
lpd-3;"A0A0K3AQT9;A0A0K3ATS5;A0A0K3AUC6;A0A0K3AWP8";LiPid Depleted;16,2304;16,0431;14,4429;15,1278;14,7406;16,5295;17,4577;17,254;0,668858;0,156638;-1,03438;-1,38843;
tln-1;A0A0K3AQU9;TaLiN;16,0092;13,4848;14,7696;13,4221;13,7721;13,5973;14,1944;13,9062;0,386605;0,324604;0,553922;0,884278;
max-2;"A0A0K3AQV8;A0A0K3AUE7;G5EGQ3";"Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase max-2";13,5153;12,2491;13,2763;13,8107;14,2807;13,6385;13,8102;14,131;1,05539;0,0595986;-0,752259;-2,03522;
egl-27;"A0A0K3AQW8;A0A0K3AQX3;A0A0K3ARG1;A0A0K3ARG6;A0A0K3ATV0;A0A0K3ATV3;A0A0K3ATV6;A0A0K3AUG2;A0A0K3AWS4;A0A0K3AWS8;Q09228";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Egg-laying defective protein 27";13,3076;13,3039;13,5169;13,701;13,5924;15,3326;14,5495;13,7417;1,06345;0,0586158;-0,846678;-2,04861;
cdc-14;"A0A0K3AQY3;A0A0K3ATW0;P81299";"Cell Division Cycle related;Cell Division Cycle related;Probable tyrosine-protein phosphatase cdc-14";11,0256;10,6159;10,6167;10,841;10,0184;9,87131;9,89537;9,90331;3,74484;0,000449339;0,852704;8,17872;+
daf-16;"A0A0K3AR63;A0A0K3AR95;A0A0K3ATP5;A0A0K3AWG6;O16850";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Forkhead box protein O";14,0404;13,7714;13,8167;13,92;13,4251;13,116;13,6714;13,4711;1,94487;0,00868165;0,46623;3,60096;+
"CELE_T16H12,3;T16H12,3";"A0A0K3ARA8;P34566";"Uncharacterized protein;Uncharacterized protein T16H12,3";12,8504;12,4177;13,3509;11,8584;12,4847;13,4082;13,6087;12,207;0,272132;0,444309;-0,307805;-0,65892;
lev-11;A0A0K3ARC0;Uncharacterized protein;15,5017;15,3856;15,1109;14,5788;13,6743;13,3467;13,5871;14,0535;2,96069;0,00180241;1,47889;5,8565;+
gld-2;"A0A0K3ARE1;A0A0K3AWQ7;O17087";"Uncharacterized protein;Uncharacterized protein;Poly(A) RNA polymerase gld-2";11,771;12,8416;11,72;12,4886;13,0836;13,5281;13,015;11,7589;0,656032;0,162544;-0,641108;-1,36647;
ncl-1;"A0A0K3ARF3;A0A0K3ARS2;A0A0K3AS01;A0A0K3AUA6;A0A0K3AUY6;A0A0K3AX41;A0A0K3AXB1;P34611";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;B-box type zinc finger protein ncl-1";15,1437;14,4379;14,5374;14,4959;15,027;15,1476;15,1867;14,9605;1,31459;0,0331992;-0,426711;-2,46992;+
CELE_D1069,3;"A0A0K3ARJ1;Q6A586";Uncharacterized protein;11,9118;12,1038;12,8008;12,5522;12,4808;10,997;11,3155;6,29544;0,735486;0,132605;2,06998;1,50163;
lin-23;"A0A0K3ARM6;A0A0K3AUM4;A0A0K3AWY7;Q09990";"Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;F-box/WD repeat-containing protein lin-23";13,1779;13,241;12,8194;13,2696;14,6164;14,6201;14,8182;14,7393;5,01452;0;-1,57151;-13,6332;+
